Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
7,1,1.5,0.631,1.405,1.264,0.56,1.072,1.972,0.745,1.827,1.676,0.641,1.21
7,2,1.56,0.631,1.445,1.244,0.5,1.076,2.07,0.748,1.887,1.649,0.572,1.229
7,3,1.68,0.671,1.545,1.364,0.4,1.132,2.282,0.795,2.058,1.864,0.454,1.321
7,4,1.54,0.591,1.545,1.464,0.32,1.092,2.049,0.693,2.059,2.007,0.366,1.289
7,5,1.6,0.611,1.465,1.344,0.36,1.076,2.13,0.739,1.915,1.853,0.407,1.276
7,6,1.7,0.571,1.625,1.404,0.38,1.136,2.292,0.718,2.186,1.948,0.429,1.356
8,1,0.86,0.493,0.57,0.28,0.09,0.459,1.016,0.546,0.643,0.297,0.093,0.54
8,2,0.88,0.813,0.43,0.4,0.11,0.527,1.042,0.953,0.468,0.435,0.113,0.615
8,3,0.9,0.953,0.43,0.407,0.07,0.552,1.064,1.136,0.468,0.446,0.071,0.649
8,4,0.88,0.993,0.43,0.42,0.25,0.595,1.039,1.191,0.468,0.461,0.294,0.689
8,5,0.86,1.053,0.41,0.4,0.19,0.583,1.012,1.276,0.445,0.442,0.212,0.687
8,6,0.82,1.053,0.37,0.38,0.13,0.551,0.959,1.276,0.399,0.422,0.138,0.661
9,1,0.14,1.096,0.53,0.14,1.05,0.591,0.145,1.352,0.586,0.146,1.276,0.733
9,2,0.12,1.256,0.59,0.267,1.17,0.68,0.124,1.572,0.661,0.283,1.455,0.828
9,3,0.26,1.276,0.51,0.427,1.07,0.708,0.28,1.612,0.563,0.475,1.303,0.827
9,4,0.28,1.216,0.51,0.373,0.75,0.626,0.306,1.522,0.563,0.415,0.891,0.752
9,5,0.36,1.276,0.53,0.327,0.85,0.668,0.408,1.616,0.586,0.351,1.029,0.802
9,6,0.28,1.376,0.55,0.213,0.77,0.638,0.306,1.769,0.611,0.228,0.915,0.798
