Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
39,1,0.38,0.387,0.46,0.527,0.355,0.422,0.417,0.421,0.507,0.609,0.397,0.491
39,2,0.64,0.34,0.32,0.467,0.535,0.46,0.765,0.372,0.347,0.529,0.612,0.544
39,3,0.46,0.267,0.3,0.327,0.705,0.412,0.51,0.297,0.319,0.361,0.813,0.479
39,4,0.54,0.387,0.42,0.387,0.565,0.46,0.651,0.425,0.477,0.437,0.642,0.567
39,5,0.3,0.127,0.6,0.371,0.605,0.401,0.321,0.13,0.714,0.41,0.684,0.485
39,6,0.32,0.313,0.58,0.407,0.595,0.443,0.342,0.342,0.7,0.455,0.673,0.538
40,1,0.42,0.182,0.83,0.367,0.3,0.42,0.486,0.193,0.983,0.397,0.33,0.507
40,2,0.5,0.204,1.01,0.36,0.44,0.503,0.572,0.216,1.238,0.391,0.497,0.615
40,3,0.42,0.173,0.77,0.38,0.56,0.461,0.467,0.186,0.903,0.416,0.662,0.569
40,4,0.42,0.204,0.83,0.353,0.64,0.489,0.476,0.215,1.011,0.388,0.738,0.591
40,5,0.58,0.093,0.81,0.4,0.42,0.461,0.659,0.096,0.969,0.435,0.491,0.563
40,6,0.62,0.182,1.07,0.42,0.64,0.586,0.712,0.196,1.325,0.464,0.744,0.696
41,1,0.32,0.378,0.575,0.46,0.36,0.418,0.346,0.414,0.656,0.506,0.398,0.471
41,2,0.14,0.627,0.755,0.473,0.68,0.535,0.145,0.718,0.888,0.529,0.827,0.635
41,3,0.2,0.598,0.675,0.333,0.58,0.477,0.218,0.676,0.768,0.366,0.693,0.563
41,4,0.18,0.458,0.685,0.513,0.7,0.507,0.196,0.502,0.785,0.568,0.861,0.588
41,5,0.36,0.507,0.745,0.707,0.58,0.58,0.397,0.568,0.873,0.855,0.666,0.668
41,6,0.28,0.507,0.565,0.573,0.4,0.465,0.32,0.565,0.642,0.64,0.435,0.524
42,1,0.34,0.249,0.33,0.242,0.495,0.331,0.371,0.263,0.354,0.257,0.57,0.388
42,2,0.28,0.326,0.49,0.162,0.615,0.375,0.307,0.356,0.575,0.169,0.695,0.455
42,3,0.52,0.324,0.37,0.307,0.665,0.437,0.603,0.354,0.431,0.336,0.762,0.515
42,4,0.44,0.386,0.47,0.342,0.735,0.475,0.507,0.418,0.538,0.373,0.853,0.535
42,5,0.54,0.329,0.63,0.382,0.855,0.547,0.628,0.357,0.766,0.412,1.001,0.626
42,6,0.54,0.311,0.71,0.251,0.485,0.459,0.628,0.337,0.895,0.267,0.55,0.525
44,1,0.84,1.084,0.585,0.278,0.62,0.682,1.003,1.34,0.704,0.305,0.734,0.8
44,2,1.04,1.284,0.345,0.109,0.64,0.684,1.285,1.616,0.384,0.111,0.752,0.848
44,3,0.9,1.044,0.405,0.153,0.54,0.609,1.096,1.279,0.469,0.161,0.631,0.756
44,4,0.98,0.964,0.495,0.178,0.68,0.66,1.228,1.175,0.614,0.185,0.827,0.829
44,5,1.16,1.244,0.405,0.149,0.58,0.708,1.458,1.564,0.442,0.156,0.693,0.871
44,6,0.86,1.084,0.575,0.189,0.76,0.694,1.028,1.33,0.692,0.198,0.93,0.814
45,1,0.58,0.32,1.45,0.656,0.59,0.719,0.702,0.357,1.909,0.757,0.668,0.857
45,2,0.52,0.547,1.55,0.456,0.55,0.724,0.582,0.612,2.037,0.504,0.622,0.852
45,3,0.5,0.393,1.45,0.596,0.77,0.742,0.568,0.435,1.886,0.677,0.89,0.85
45,4,0.42,0.373,1.41,0.396,0.59,0.638,0.468,0.405,1.822,0.428,0.67,0.765
45,5,0.42,0.4,1.33,0.436,0.57,0.631,0.468,0.446,1.717,0.475,0.646,0.749
45,6,0.58,0.687,1.67,0.336,0.59,0.772,0.712,0.794,2.26,0.363,0.668,0.932
46,1,0.42,0.573,0.575,0.353,0.8,0.544,0.46,0.66,0.647,0.385,1.02,0.638
46,2,0.38,0.813,0.435,0.413,1.4,0.688,0.414,0.953,0.474,0.45,1.8,0.804
46,3,0.3,0.873,0.365,0.493,1.02,0.61,0.324,1.04,0.402,0.543,1.257,0.708
46,4,0.56,1.053,0.525,0.673,1.32,0.826,0.651,1.284,0.592,0.775,1.7,0.921
46,5,0.3,0.793,0.555,0.593,1.28,0.704,0.324,0.933,0.635,0.666,1.622,0.797
46,6,0.28,0.993,0.495,0.74,1.08,0.717,0.299,1.2,0.554,0.894,1.334,0.823
47,1,0.36,0.693,0.305,0.44,0.49,0.457,0.403,0.807,0.33,0.48,0.577,0.521
47,2,0.22,0.533,0.285,0.52,0.85,0.481,0.232,0.597,0.302,0.576,1.017,0.554
47,3,0.24,0.793,0.405,0.46,0.93,0.565,0.254,0.953,0.455,0.512,1.14,0.672
47,4,0.5,0.933,0.625,0.447,0.75,0.651,0.576,1.137,0.748,0.488,0.928,0.759
47,5,0.24,1.073,0.525,0.44,0.83,0.621,0.267,1.309,0.594,0.483,0.99,0.729
47,6,0.26,0.973,0.305,0.573,1.03,0.628,0.278,1.183,0.332,0.64,1.256,0.725
5,1,0.74,0.356,0.845,0.22,0.685,0.569,0.87,0.393,1.0,0.232,0.814,0.663
5,2,0.56,0.387,0.785,0.16,0.605,0.499,0.646,0.425,0.93,0.167,0.73,0.59
5,3,0.74,0.364,0.845,0.16,0.645,0.551,0.878,0.403,1.022,0.167,0.798,0.676
5,4,0.32,0.404,1.175,0.127,0.685,0.542,0.342,0.445,1.556,0.13,0.814,0.68
5,5,0.88,0.373,0.555,0.247,0.585,0.528,1.05,0.411,0.655,0.266,0.733,0.643
5,6,0.36,0.284,0.785,0.16,0.535,0.425,0.413,0.302,0.954,0.167,0.634,0.531
6,1,0.58,0.371,0.84,0.524,0.24,0.511,0.672,0.404,1.003,0.582,0.262,0.573
6,2,0.46,0.271,0.76,0.444,0.58,0.503,0.529,0.294,0.904,0.494,0.656,0.569
6,3,0.6,0.476,0.74,0.784,0.8,0.68,0.686,0.528,0.883,0.923,0.991,0.766
6,4,0.48,0.354,0.74,0.704,0.74,0.604,0.55,0.385,0.867,0.81,0.896,0.688
6,5,0.44,0.376,0.84,0.644,0.64,0.588,0.494,0.413,0.987,0.728,0.762,0.659
6,6,0.26,0.494,0.64,0.724,0.44,0.512,0.278,0.543,0.723,0.837,0.48,0.545
7,1,1.36,0.871,1.285,0.324,0.32,0.832,1.731,1.053,1.616,0.347,0.371,0.975
7,2,1.48,0.291,1.225,0.246,0.26,0.7,1.92,0.32,1.539,0.262,0.284,0.901
7,3,1.44,0.511,1.245,0.406,0.16,0.752,1.856,0.586,1.557,0.476,0.174,0.937
7,4,1.24,0.571,1.065,0.386,0.16,0.684,1.568,0.67,1.314,0.442,0.186,0.846
7,5,1.28,0.371,1.305,0.766,0.4,0.824,1.616,0.41,1.652,1.039,0.473,1.004
7,6,1.28,0.551,1.425,0.424,0.1,0.756,1.632,0.635,1.841,0.482,0.11,0.951
8,1,0.54,0.573,0.33,0.567,0.33,0.468,0.609,0.644,0.354,0.65,0.379,0.538
8,2,0.62,0.733,0.29,0.827,0.37,0.568,0.699,0.857,0.312,0.965,0.429,0.644
8,3,0.72,0.793,0.35,0.787,0.57,0.644,0.832,0.94,0.386,0.913,0.686,0.71
8,4,0.7,0.973,0.33,0.867,0.61,0.696,0.807,1.183,0.357,1.017,0.736,0.776
8,5,0.5,1.033,0.41,0.867,0.43,0.648,0.56,1.266,0.445,1.017,0.53,0.752
8,6,0.64,1.253,0.49,0.947,0.75,0.816,0.742,1.569,0.569,1.129,0.984,0.942
9,1,0.42,1.136,0.71,0.42,1.13,0.763,0.476,1.428,0.815,0.46,1.39,0.862
9,2,0.54,1.356,0.43,0.533,0.91,0.754,0.622,1.727,0.479,0.59,1.108,0.859
9,3,0.34,1.356,0.65,0.513,1.09,0.79,0.387,1.743,0.736,0.568,1.342,0.902
9,4,0.3,1.016,0.81,0.453,0.87,0.69,0.332,1.239,0.955,0.496,1.05,0.786
9,5,0.36,1.216,0.99,0.473,1.01,0.81,0.406,1.527,1.216,0.528,1.22,0.912
9,6,0.48,1.216,0.63,0.613,0.95,0.778,0.566,1.522,0.711,0.691,1.162,0.86
